name_fr,ifcproduct,ifctypeproduct
Poutre,IfcBeam,IfcBeamType BEAM
Solive,IfcBeam,IfcBeamType JOIST
Linteau,IfcBeam,IfcBeamType LINTEL
Poutre en T,IfcBeam,IfcBeamType T-BEAM
,IfcBuildingElementProxy,
Poteau,IfcColumn,IfcColumnType COLUMN
Plinthe,IfcCovering,IfcCoveringType
Moulure,IfcCovering,IfcCoveringType
Plafond,IfcCovering CEILING,IfcCoveringType CEILING
Revêtement de sol,IfcCovering FLOORING,IfcCoveringType FLOORING
Bardage,IfcCovering CLADDING,IfcCoveringType CLADDING
Couverture (toiture),IfcCovering ROOFING,IfcCoveringType ROOFING
Isolation,IfcCovering INSULATION,IfcCoveringType INSULATION
Membrane d'étanchéité / pare-pluie / écran de sous-toiture,IfcCovering MEMBRANE,IfcCoveringType MEMBRANE
Encoffrement / gaine,IfcCovering SLEEVING,IfcCoveringType SLEEVING
Manchon,IfcCovering WRAPPING,IfcCoveringType WRAPPING
Mur-rideau,IfcCurtainWall,
Porte,IfcDoor,
Fondation,IfcFooting,
Longrine,IfcFooting FOOTING_BEAM,
Semelle isolée,IfcFooting PAD_FOOTING,
,IfcFooting PILE_CAP,
Semelle filante,IfcFooting STRIP_FOOTING,
Trame,IfcGrid *,
Ossature,IfcMember,
Entretoise / contrefiche,IfcMember,IfcMemberType BRACE
Corde (poutre treillis),IfcMember,IfcMemberType CHORD
Entrait,IfcMember,IfcMemberType COLLAR
Montant ?,IfcMember,IfcMemberType MEMBER
Meneau,IfcMember,IfcMemberType MULLION
Plat,IfcMember,IfcMemberType PLATE
Poinçon,IfcMember,IfcMemberType POST
Panne,IfcMember,IfcMemberType PURLIN
Arbalétrier,IfcMember,IfcMemberType RAFTER
Limon,IfcMember,IfcMemberType STRINGER
Contrefiche ?,IfcMember,IfcMemberType STRUT
Montant,IfcMember,IfcMemberType STUD
Pieu,IfcPile,
,IfcPlate,
Panneau de mur-rideau,IfcPlate,IfcPlateType CURTAIN_PANEL
,IfcPlate,IfcPlateType SHEET
Main-courante,IfcRailing HANDRAIL,IfcRailingType HANDRAIL
Garde-corps,IfcRailing GUARDRAIL,IfcRailingType GUARDRAIL
Balustrade,IfcRailing BALUSTRADE,IfcRailingType BALUSTRADE
Rampe,IfcRamp,
Rampe droite,IfcRamp STRAIGHT_RUN_RAMP,
Rampe avec palier intermédiaire,IfcRamp TWO_STRAIGHT_RUN_RAMP,
Rampe quart tournant (1 palier intermédiaire),IfcRamp QUARTER_TURN_RAMP,
Rampe double quart tournant (2 paliers intermédiaires),IfcRamp TWO_QUARTER_TURN_RAMP,
Rampe double quart tournant (1 palier intermédiaire),IfcRamp HALF_TURN_RAMP,
Rampe à spirale,IfcRamp SPIRAL_RAMP,
Volée de rampe,IfcRampFlight,
Volée de rampe droite,IfcRampFlight,IfcRampFlightType STRAIGHT
Volée de rampe à spirale,IfcRampFlight,IfcRampFlightType SPIRAL
Toiture,IfcRoof,
Toiture terrasse,IfcRoof,IfcRoofType FLAT_ROOF
Toiture à un versant (appentis),IfcRoof,IfcRoofType SHED_ROOF
Toiture à deux versants,IfcRoof,IfcRoofType GABLE_ROOF
Toiture à quatre versants égaux,IfcRoof,IfcRoofType HIP_ROOF
Toiture à deux pans en croupe,IfcRoof,IfcRoofType HIPPED_GABLE_ROOF
Toiture à deux pans avec ligne de bris,IfcRoof,IfcRoofType GAMBREL_ROOF
Toit à la mansard,IfcRoof,IfcRoofType MANSARD_ROOF
Voûte plein-cintre,IfcRoof,IfcRoofType BARREL_ROOF
Voûte brisée,IfcRoof,IfcRoofType RAINBOW_ROOF
Toiture papilon,IfcRoof,IfcRoofType BUTTERFLY_ROOF
Toiture à 4 pans égaux,IfcRoof,IfcRoofType PAVILION_ROOF
Dôme,IfcRoof,IfcRoofType DOME_ROOF
Toiture à forme libre,IfcRoof,IfcRoofType FREEFORM
Dalle,IfcSlab,
Plancher,IfcSlab FLOOR,IfcSlabType FLOOR
Toiture,IfcSlab ROOF,IfcSlabType ROOF
Palier,IfcSlab LANDING,IfcSlabType LANDING
Radier,IfcSlab BASESLAB,IfcSlabType BASESLAB
Pièce,IfcSpace *,
Escalier,IfcStair,
Escalier droit,IfcStair STRAIGHT_RUN_STAIR,
Escalier droit avec palier intermédiaire,IfcStair TWO_STRAIGHT_RUN_STAIR,
,IfcStair QUARTER_WINDING_STAIR,
Escalier quart tournant,IfcStair QUARTER_TURN_STAIR,
Escalier balancé,IfcStair HALF_WINDING_STAIR,
,IfcStair HALF_TURN_STAIR,
,IfcStair TWO_QUARTER_WINDING_STAIR,
,IfcStair TWO_QUARTER_TURN_STAIR,
,IfcStair THREE_QUARTER_WINDING_STAIR,
,IfcStair THREE_QUARTER_TURN_STAIR,
Escalier hélicoïdal,IfcStair SPIRAL_STAIR,
,IfcStair DOUBLE_RETURN_STAIR,
,IfcStair CURVED_RUN_STAIR,
,IfcStair TWO_CURVED_RUN_STAIR,
,IfcStairFlight,
Volée d'escalier droite,IfcStairFlight,IfcStairFlightType STRAIGHT
,IfcStairFlight,IfcStairFlightType WINDER
,IfcStairFlight,IfcStairFlightType SPIRAL
,IfcStairFlight,IfcStairFlightType CURVED
,IfcStairFlight,IfcStairFlightType FREEFORM
Mur,IfcWall,
Cloison,IfcWall,
Mur à épaisseur constante dans la longueur,IfcWall,IfcWallType STANDARD
Mur à épaisseur variable dans la longueur,IfcWall,IfcWallType POLYGONAL
Mur avec fruit,IfcWall,IfcWallType SHEAR
Mur composé de différents éléments (ex: ossature bois),IfcWall,IfcWallType ELEMENTEDWALL
Coffrage de sanitaires,IfcWall,IfcWallType PLUMBINGWALL
Fenêtre,IfcWindow,